76740,OFF
76725,ON
76720,ON
76683,ON
76653,ON
76649,ON
76648,ON
76647,ON
76520,ON
76467,ON
76437,ON
76386,ON
76385,ON
76604,ON
76317,ON
76315,ON
76314,ON
76313,ON
76312,ON
76311,ON
76310,ON
76309,ON
76308,ON
76243,ON
76127,ON
76120,ON
76088,ON
76087,ON
76030,ON
76010,ON
75882,ON
75717,ON
75716,ON
75537,ON
75536,ON
75509,ON
75271,ON
75168,ON
75136,ON
75135,ON
75130,ON
75083,ON
74962,ON
76715,ON
74948,ON
74870,ON
74686,ON
74685,ON
74481,ON
74144,ON
74116,ON
74254,ON
73996,ON
74438,ON
73964,ON
73891,ON
73732,ON
73621,ON
73463,ON
73461,ON
73460,ON
73436,ON
73397,ON
74145,ON
73341,ON
73095,ON
72961,ON
72960,ON
73227,ON
74394,ON
72959,ON
72958,ON
72957,ON
72936,ON
72815,ON
73204,ON
72723,ON
73158,ON
72719,ON
72555,ON
72553,ON
73157,ON
72226,ON
72225,ON
72212,ON
72178,ON
72177,ON
73807,ON
72148,ON
72556,ON
71905,ON
71904,ON
71856,ON
71855,ON
75031,ON
73663,ON
71793,ON
72882,ON
73071,ON
73770,ON
71709,ON
72386,ON
71707,ON
71706,ON
71705,ON
71653,ON
71606,ON
72404,ON
71581,ON
71516,ON
72362,ON
71511,ON
71510,ON
71443,ON
73462,ON
71582,ON
71381,ON
71380,ON
71573,ON
71351,ON
71922,ON
71340,ON
71308,ON
71540,ON
71251,ON
71942,ON
71059,ON
71583,ON
71054,ON
70968,ON
71652,ON
70967,ON
71805,ON
70712,ON
70682,ON
71447,ON
70676,ON
70675,ON
70674,ON
70437,ON
71190,ON
70425,ON
70424,ON
71997,ON
70382,ON
70371,ON
70370,ON
70367,ON
70365,ON
70332,ON
70273,ON
70272,ON
70271,ON
70270,ON
70036,ON
70014,ON
69934,ON
69806,ON
70096,ON
70097,ON
70098,ON
70100,ON
70101,ON
70102,ON
70103,ON
70143,ON
70144,ON
70145,ON
70146,ON
70147,ON
70148,ON
70261,ON
69412,ON
68934,ON
68826,ON
68737,ON
68677,ON
68617,ON
68615,ON
68540,ON
68299,ON
68245,ON
68074,ON
67975,ON
67892,ON
67891,ON
67977,ON
67890,ON
67889,ON
67878,ON
68678,ON
67669,ON
67668,ON
67621,ON
67361,ON
67083,ON
66939,ON
66771,ON
68708,ON
66637,ON
70016,ON
66161,ON
67085,ON
65847,ON
65690,ON
70372,ON
67223,ON
67489,ON
69807,ON
65631,ON
66235,ON
65573,ON
65527,ON
70373,ON
66198,ON
66471,ON
65361,ON
67222,ON
65333,ON
65287,ON
65263,ON
65262,ON
65261,ON
65260,ON
65491,ON
65258,ON
69834,ON
65194,ON
65193,ON
65192,ON
68077,ON
66366,ON
65191,ON
64952,ON
64860,ON
65183,ON
65186,ON
64711,ON
65185,ON
64682,ON
64577,ON
64524,ON
64502,ON
64436,ON
64430,ON
65184,ON
64304,ON
64293,ON
64287,ON
64286,ON
64173,ON
64773,ON
64107,ON
64523,ON
64564,ON
64582,ON
64583,ON
64598,ON
64601,ON
64614,ON
64616,ON
64620,ON
64621,ON
64627,ON
64628,ON
64638,ON
64639,ON
64640,ON
64642,ON
64643,ON
64644,ON
64645,ON
64646,ON
64647,ON
64648,ON
64649,ON
64650,ON
64653,ON
64659,ON
64660,ON
64661,ON
64683,ON
64685,ON
64712,ON
64713,ON
64877,ON
64883,ON
64884,ON
64885,ON
64886,ON
64887,ON
64889,ON
64890,ON
64892,ON
64894,ON
63637,ON
63562,ON
63530,ON
63426,ON
63383,ON
63277,ON
62943,ON
65189,ON
62941,ON
64236,ON
65188,ON
62913,ON
62766,ON
62700,ON
62646,ON
62612,ON
62603,ON
62600,ON
62439,ON
63770,ON
62388,ON
62382,ON
62376,ON
63700,ON
65187,ON
62281,ON
62084,ON
61764,ON
61763,ON
62549,ON
61684,ON
61732,ON
61609,ON
61608,ON
63427,ON
61455,ON
61417,ON
61416,ON
61109,ON
61064,ON
60977,ON
60910,ON
60908,ON
60907,ON
60900,ON
62349,ON
64078,ON
60898,ON
60838,ON
64408,ON
60802,ON
61063,ON
60715,ON
60652,ON
62912,ON
60563,ON
60560,ON
60546,ON
60473,ON
60396,ON
60329,ON
60328,ON
60474,ON
60327,ON
60252,ON
61148,ON
60251,ON
60250,ON
60229,ON
60138,ON
